,Gamma,OI,underlyingClose,Strike,direction
0,1.024978734412906e-174,0,463,388.0,1
1,1.024978734412906e-174,0,464,388.0,1
2,1.024978734412906e-174,0,465,388.0,1
0,2.9954058265811428e-173,1,463,389.0,1
1,2.9954058265811428e-173,1,464,389.0,1
2,2.9954058265811428e-173,1,465,389.0,1
0,1.4766173517095371e-173,0,463,390.0,1
1,1.4766173517095371e-173,0,464,390.0,1
2,1.4766173517095371e-173,0,465,390.0,1
0,4.5133716968167916e-172,0,463,391.0,1
1,4.5133716968167916e-172,0,464,391.0,1
2,4.5133716968167916e-172,0,465,391.0,1
0,1.4181692778757653e-170,1,463,392.0,1
1,1.4181692778757653e-170,1,464,392.0,1
2,1.4181692778757653e-170,1,465,392.0,1
0,6.895324928164752e-171,0,463,393.0,1
1,6.895324928164752e-171,0,464,393.0,1
2,6.895324928164752e-171,0,465,393.0,1
0,2.2786074127365444e-169,1,463,394.0,1
1,2.2786074127365444e-169,1,464,394.0,1
2,2.2786074127365444e-169,1,465,394.0,1
0,1.0712633773033392e-169,0,463,395.0,1
1,1.0712633773033392e-169,0,464,395.0,1
2,1.0712633773033392e-169,0,465,395.0,1
0,3.7375019743245176e-168,0,463,396.0,1
1,3.7375019743245176e-168,0,464,396.0,1
2,3.7375019743245176e-168,0,465,396.0,1
0,1.6979864332664804e-168,0,463,397.0,1
1,1.6979864332664804e-168,0,464,397.0,1
2,1.6979864332664804e-168,0,465,397.0,1
0,6.280901156579384e-167,0,463,398.0,1
1,6.280901156579384e-167,0,464,398.0,1
2,6.280901156579384e-167,0,465,398.0,1
0,2.407808338548499e-165,0,463,399.0,1
1,2.407808338548499e-165,0,464,399.0,1
2,2.407808338548499e-165,0,465,399.0,1
0,1.0857157964256147e-165,50,463,400.0,1
1,1.0857157964256147e-165,50,464,400.0,1
2,1.0857157964256147e-165,50,465,400.0,1
0,4.445731592611151e-164,0,463,401.0,1
1,4.445731592611151e-164,0,464,401.0,1
2,4.445731592611151e-164,0,465,401.0,1
0,1.894562835446949e-162,0,463,402.0,1
1,1.894562835446949e-162,0,464,402.0,1
2,1.894562835446949e-162,0,465,402.0,1
0,8.414691396908341e-161,1,463,403.0,1
1,8.414691396908341e-161,1,464,403.0,1
2,8.414691396908341e-161,1,465,403.0,1
0,3.91418000423324e-161,0,463,404.0,1
1,3.91418000423324e-161,0,464,404.0,1
2,3.91418000423324e-161,0,465,404.0,1
0,1.8791382709524308e-159,0,463,405.0,1
1,1.8791382709524308e-159,0,464,405.0,1
2,1.8791382709524308e-159,0,465,405.0,1
0,9.449482459123508e-158,0,463,406.0,1
1,9.449482459123508e-158,0,464,406.0,1
2,9.449482459123508e-158,0,465,406.0,1
0,4.985705122708903e-156,0,463,407.0,1
1,4.985705122708903e-156,0,464,407.0,1
2,4.985705122708903e-156,0,465,407.0,1
0,2.4376838734152805e-156,0,463,408.0,1
1,2.4376838734152805e-156,0,464,408.0,1
2,2.4376838734152805e-156,0,465,408.0,1
0,1.4103922300336538e-154,1,463,409.0,1
1,1.4103922300336538e-154,1,464,409.0,1
2,1.4103922300336538e-154,1,465,409.0,1
0,8.613303813252369e-153,16,463,410.0,1
1,8.613303813252369e-153,16,464,410.0,1
2,8.613303813252369e-153,16,465,410.0,1
0,4.31893961463678e-153,0,463,411.0,1
1,4.31893961463678e-153,0,464,411.0,1
2,4.31893961463678e-153,0,465,411.0,1
0,2.929439876912659e-151,1,463,412.0,1
1,2.929439876912659e-151,1,464,412.0,1
2,2.929439876912659e-151,1,465,412.0,1
0,2.1118745144222143e-149,0,463,413.0,1
1,2.1118745144222143e-149,0,464,413.0,1
2,2.1118745144222143e-149,0,465,413.0,1
0,1.6219737994025602e-147,5,463,414.0,1
1,1.6219737994025602e-147,5,464,414.0,1
2,1.6219737994025602e-147,5,465,414.0,1
0,8.94153547930868e-148,0,463,415.0,1
1,8.94153547930868e-148,0,464,415.0,1
2,8.94153547930868e-148,0,465,415.0,1
0,7.787070377888934e-146,0,463,416.0,1
1,7.787070377888934e-146,0,464,416.0,1
2,7.787070377888934e-146,0,465,416.0,1
0,7.286227076504974e-144,1,463,417.0,1
1,7.286227076504974e-144,1,464,417.0,1
2,7.286227076504974e-144,1,465,417.0,1
0,7.345654068091344e-142,0,463,418.0,1
1,7.345654068091344e-142,0,464,418.0,1
2,7.345654068091344e-142,0,465,418.0,1
0,8.002820321871587e-140,5,463,419.0,1
1,8.002820321871587e-140,5,464,419.0,1
2,8.002820321871587e-140,5,465,419.0,1
0,5.430260243145429e-140,21,463,420.0,1
1,5.430260243145429e-140,21,464,420.0,1
2,5.430260243145429e-140,21,465,420.0,1
0,6.936605255813658e-138,0,463,421.0,1
1,6.936605255813658e-138,0,464,421.0,1
2,6.936605255813658e-138,0,465,421.0,1
0,4.822606475965787e-138,1,463,422.0,1
1,4.822606475965787e-138,1,464,422.0,1
2,4.822606475965787e-138,1,465,422.0,1
0,7.343135735490072e-136,18,463,423.0,1
1,7.343135735490072e-136,18,464,423.0,1
2,7.343135735490072e-136,18,465,423.0,1
0,5.27615959774331e-136,0,463,424.0,1
1,5.27615959774331e-136,0,464,424.0,1
2,5.27615959774331e-136,0,465,424.0,1
0,9.758799758996008e-134,0,463,425.0,1
1,9.758799758996008e-134,0,464,425.0,1
2,9.758799758996008e-134,0,465,425.0,1
0,7.323321611050948e-134,1,463,426.0,1
1,7.323321611050948e-134,1,464,426.0,1
2,7.323321611050948e-134,1,465,426.0,1
0,5.185280866839504e-134,17,463,427.0,1
1,5.185280866839504e-134,17,464,427.0,1
2,5.185280866839504e-134,17,465,427.0,1
0,1.3351492992926955e-131,42,463,428.0,1
1,1.3351492992926955e-131,42,464,428.0,1
2,1.3351492992926955e-131,42,465,428.0,1
0,1.0014638993782381e-131,1,463,429.0,1
1,1.0014638993782381e-131,1,464,429.0,1
2,1.0014638993782381e-131,1,465,429.0,1
0,3.331967315757156e-129,10,463,430.0,1
1,3.331967315757156e-129,10,464,430.0,1
2,3.331967315757156e-129,10,465,430.0,1
0,2.6933601277559588e-129,12,463,431.0,1
1,2.6933601277559588e-129,12,464,431.0,1
2,2.6933601277559588e-129,12,465,431.0,1
0,1.1958584547027391e-126,3,463,432.0,1
1,1.1958584547027391e-126,3,464,432.0,1
2,1.1958584547027391e-126,3,465,432.0,1
0,1.0643874501450425e-126,5,463,433.0,1
1,1.0643874501450425e-126,5,464,433.0,1
2,1.0643874501450425e-126,5,465,433.0,1
0,6.552158611387917e-124,12,463,434.0,1
1,6.552158611387917e-124,12,464,434.0,1
2,6.552158611387917e-124,12,465,434.0,1
0,6.598322471341544e-124,22,463,435.0,1
1,6.598322471341544e-124,22,464,435.0,1
2,6.598322471341544e-124,22,465,435.0,1
0,5.8939182961791564e-121,8,463,436.0,1
1,5.8939182961791564e-121,8,464,436.0,1
2,5.8939182961791564e-121,8,465,436.0,1
0,6.453177112015097e-118,3,463,437.0,1
1,6.453177112015097e-118,3,464,437.0,1
2,6.453177112015097e-118,3,465,437.0,1
0,9.51977079491318e-118,14,463,438.0,1
1,9.51977079491318e-118,14,464,438.0,1
2,9.51977079491318e-118,14,465,438.0,1
0,1.644505918492028e-114,6,463,439.0,1
1,1.644505918492028e-114,6,464,439.0,1
2,1.644505918492028e-114,6,465,439.0,1
0,3.0863467451214095e-114,67,463,440.0,1
1,3.0863467451214095e-114,67,464,440.0,1
2,3.0863467451214095e-114,67,465,440.0,1
0,9.046669284491197e-111,1,463,441.0,1
1,9.046669284491197e-111,1,464,441.0,1
2,9.046669284491197e-111,1,465,441.0,1
0,2.3109817845345207e-110,20,463,442.0,1
1,2.3109817845345207e-110,20,464,442.0,1
2,2.3109817845345207e-110,20,465,442.0,1
0,1.2573743292636355e-106,6,463,443.0,1
1,1.2573743292636355e-106,6,464,443.0,1
2,1.2573743292636355e-106,6,465,443.0,1
0,9.496367622127218e-103,0,463,444.0,1
1,9.496367622127218e-103,0,464,444.0,1
2,9.496367622127218e-103,0,465,444.0,1
0,5.399773800660041e-102,43,463,445.0,1
1,5.399773800660041e-102,43,464,445.0,1
2,5.399773800660041e-102,43,465,445.0,1
0,8.954239089706938e-98,314,463,446.0,1
1,8.954239089706938e-98,314,464,446.0,1
2,8.954239089706938e-98,314,465,446.0,1
0,9.301981051746115e-97,610,463,447.0,1
1,9.301981051746115e-97,610,464,447.0,1
2,9.301981051746115e-97,610,465,447.0,1
0,3.954201514775967e-92,1129,463,448.0,1
1,3.954201514775967e-92,1129,464,448.0,1
2,3.954201514775967e-92,1129,465,448.0,1
0,9.060246233008969e-91,1256,463,449.0,1
1,9.060246233008969e-91,1256,464,449.0,1
2,9.060246233008969e-91,1256,465,449.0,1
0,1.2031311469128275e-85,2020,463,450.0,1
1,1.2031311469128275e-85,2020,464,450.0,1
2,1.2031311469128275e-85,2020,465,450.0,1
0,7.885111156213694e-84,436,463,451.0,1
1,7.885111156213694e-84,436,464,451.0,1
2,7.885111156213694e-84,436,465,451.0,1
0,8.259369235002471e-82,957,463,452.0,1
1,8.259369235002471e-82,957,464,452.0,1
2,8.259369235002471e-82,957,465,452.0,1
0,1.136056838880367e-75,959,463,453.0,1
1,1.136056838880367e-75,959,464,453.0,1
2,1.136056838880367e-75,959,465,453.0,1
0,3.3765029434851326e-69,3600,463,454.0,1
1,3.3765029434851326e-69,3600,464,454.0,1
2,3.3765029434851326e-69,3600,465,454.0,1
0,6.230367015118964e-66,4614,463,455.0,1
1,6.230367015118964e-66,4614,464,455.0,1
2,6.230367015118964e-66,4614,465,455.0,1
0,3.4172696014272696e-62,2306,463,456.0,1
1,3.4172696014272696e-62,2306,464,456.0,1
2,3.4172696014272696e-62,2306,465,456.0,1
0,3.891975450796027e-54,5174,463,457.0,1
1,3.891975450796027e-54,5174,464,457.0,1
2,3.891975450796027e-54,5174,465,457.0,1
0,5.034579073277624e-49,2728,463,458.0,1
1,5.034579073277624e-49,2728,464,458.0,1
2,5.034579073277624e-49,2728,465,458.0,1
0,9.89693178443908e-40,6139,463,459.0,1
1,9.89693178443908e-40,6139,464,459.0,1
2,9.89693178443908e-40,6139,465,459.0,1
0,4.1060719055942744e-30,6603,463,460.0,1
1,4.1060719055942744e-30,6603,464,460.0,1
2,4.1060719055942744e-30,6603,465,460.0,1
0,1.880081442959474e-20,3328,463,461.0,1
1,1.880081442959474e-20,3328,464,461.0,1
2,1.880081442959474e-20,3328,465,461.0,1
0,2.6811127645118955e-10,6412,463,462.0,1
1,2.6811127645118955e-10,6412,464,462.0,1
2,2.6811127645118955e-10,6412,465,462.0,1
0,0.0029219761990357403,4661,463,463.0,1
1,0.0029219761990357403,4661,464,463.0,1
2,0.0029219761990357403,4661,465,463.0,1
0,1.477628451534525,8037,463,464.0,1
1,1.477628451534525,8037,464,464.0,1
2,1.477628451534525,8037,465,464.0,1
0,0.0015778470759183671,7609,463,465.0,1
1,0.0015778470759183671,7609,464,465.0,1
2,0.0015778470759183671,7609,465,465.0,1
0,7.85325370009028e-14,5993,463,466.0,1
1,7.85325370009028e-14,5993,464,466.0,1
2,7.85325370009028e-14,5993,465,466.0,1
0,2.1544251795557314e-30,7447,463,467.0,1
1,2.1544251795557314e-30,7447,464,467.0,1
2,2.1544251795557314e-30,7447,465,467.0,1
0,1.6601631668860793e-53,2969,463,468.0,1
1,1.6601631668860793e-53,2969,464,468.0,1
2,1.6601631668860793e-53,2969,465,468.0,1
0,3.958403797924123e-83,2076,463,469.0,1
1,3.958403797924123e-83,2076,464,469.0,1
2,3.958403797924123e-83,2076,465,469.0,1
0,3.2145749521915075e-119,10743,463,470.0,1
1,3.2145749521915075e-119,10743,464,470.0,1
2,3.2145749521915075e-119,10743,465,470.0,1
0,2.398102268712523e-144,898,463,471.0,1
1,2.398102268712523e-144,898,464,471.0,1
2,2.398102268712523e-144,898,465,471.0,1
0,5.759526902765826e-188,1152,463,472.0,1
1,5.759526902765826e-188,1152,464,472.0,1
2,5.759526902765826e-188,1152,465,472.0,1
0,2.55491121682004e-192,931,463,473.0,1
1,2.55491121682004e-192,931,464,473.0,1
2,2.55491121682004e-192,931,465,473.0,1
0,7.490639083732523e-215,3190,463,474.0,1
1,7.490639083732523e-215,3190,464,474.0,1
2,7.490639083732523e-215,3190,465,474.0,1
0,2.4808144568101587e-236,1419,463,475.0,1
1,2.4808144568101587e-236,1419,464,475.0,1
2,2.4808144568101587e-236,1419,465,475.0,1
0,7.146327357335761e-236,861,463,476.0,1
1,7.146327357335761e-236,861,464,476.0,1
2,7.146327357335761e-236,861,465,476.0,1
0,2.0641250408255935e-235,543,463,477.0,1
1,2.0641250408255935e-235,543,464,477.0,1
2,2.0641250408255935e-235,543,465,477.0,1
0,1.3239812904509988e-252,862,463,478.0,1
1,1.3239812904509988e-252,862,464,478.0,1
2,1.3239812904509988e-252,862,465,478.0,1
0,7.182114277070669e-251,1118,463,479.0,1
1,7.182114277070669e-251,1118,464,479.0,1
2,7.182114277070669e-251,1118,465,479.0,1
0,2.653411519683649e-249,729,463,480.0,1
1,2.653411519683649e-249,729,464,480.0,1
2,2.653411519683649e-249,729,465,480.0,1
0,7.16296623273256e-248,366,463,481.0,1
1,7.16296623273256e-248,366,464,481.0,1
2,7.16296623273256e-248,366,465,481.0,1
0,3.309516616181532e-261,3,463,482.0,1
1,3.309516616181532e-261,3,464,482.0,1
2,3.309516616181532e-261,3,465,482.0,1
0,4.358278316177687e-259,49,463,483.0,1
1,4.358278316177687e-259,49,464,483.0,1
2,4.358278316177687e-259,49,465,483.0,1
0,3.793882126085397e-257,1368,463,484.0,1
1,3.793882126085397e-257,1368,464,484.0,1
2,3.793882126085397e-257,1368,465,484.0,1
0,1.4474943193575236e-268,728,463,485.0,1
1,1.4474943193575236e-268,728,464,485.0,1
2,1.4474943193575236e-268,728,465,485.0,1
0,3.56818807883092e-266,1412,463,486.0,1
1,3.56818807883092e-266,1412,464,486.0,1
2,3.56818807883092e-266,1412,465,486.0,1
0,5.720447738358465e-264,707,463,487.0,1
1,5.720447738358465e-264,707,464,487.0,1
2,5.720447738358465e-264,707,465,487.0,1
0,6.50421595663969e-274,99,463,488.0,1
1,6.50421595663969e-274,99,464,488.0,1
2,6.50421595663969e-274,99,465,488.0,1
0,2.126772091510589e-271,0,463,489.0,1
1,2.126772091510589e-271,0,464,489.0,1
2,2.126772091510589e-271,0,465,489.0,1
0,4.5994580368594456e-269,18,463,490.0,1
1,4.5994580368594456e-269,18,464,490.0,1
2,4.5994580368594456e-269,18,465,490.0,1
0,7.679644328549232e-278,8,463,491.0,1
1,7.679644328549232e-278,8,464,491.0,1
2,7.679644328549232e-278,8,465,491.0,1
0,2.749817688533623e-275,10,463,492.0,1
1,2.749817688533623e-275,10,464,492.0,1
2,2.749817688533623e-275,10,465,492.0,1
0,6.703343867013732e-273,254,463,493.0,1
1,6.703343867013732e-273,254,464,493.0,1
2,6.703343867013732e-273,254,465,493.0,1
0,9.866811273898599e-281,653,463,494.0,1
1,9.866811273898599e-281,653,464,494.0,1
2,9.866811273898599e-281,653,465,494.0,1
0,3.468398625850778e-278,259,463,495.0,1
1,3.468398625850778e-278,259,464,495.0,1
2,3.468398625850778e-278,259,465,495.0,1
0,1.644069896248557e-285,76,463,496.0,1
1,1.644069896248557e-285,76,464,496.0,1
2,1.644069896248557e-285,76,465,496.0,1
0,7.609438637585751e-283,263,463,497.0,1
1,7.609438637585751e-283,263,464,497.0,1
2,7.609438637585751e-283,263,465,497.0,1
0,1.030163000400198e-289,253,463,498.0,1
1,1.030163000400198e-289,253,464,498.0,1
2,1.030163000400198e-289,253,465,498.0,1
0,5.843985552934911e-287,1928,463,499.0,1
1,5.843985552934911e-287,1928,464,499.0,1
2,5.843985552934911e-287,1928,465,499.0,1
0,2.0377281786025165e-293,255,463,500.0,1
1,2.0377281786025165e-293,255,464,500.0,1
2,2.0377281786025165e-293,255,465,500.0,1
0,3.524560935500118e-305,268,463,505.0,1
1,3.524560935500118e-305,268,464,505.0,1
2,3.524560935500118e-305,268,465,505.0,1
0,2.35140487915909e-306,1353,463,510.0,1
1,2.35140487915909e-306,1353,464,510.0,1
2,2.35140487915909e-306,1353,465,510.0,1
0,5.5731157893e-314,0,463,515.0,1
1,5.5731157893e-314,0,464,515.0,1
2,5.5731157893e-314,0,465,515.0,1
0,0.0,0,463,520.0,1
1,0.0,0,464,520.0,1
2,0.0,0,465,520.0,1
0,,0,463,525.0,1
1,,0,464,525.0,1
2,,0,465,525.0,1
0,9.249674239341128e-179,0,463,388.0,1
1,9.249674239341128e-179,0,464,388.0,1
2,9.249674239341128e-179,0,465,388.0,1
0,3.098424327485245e-176,1,463,389.0,1
1,3.098424327485245e-176,1,464,389.0,1
2,3.098424327485245e-176,1,465,389.0,1
0,1.0518712859603785e-173,60,463,390.0,1
1,1.0518712859603785e-173,60,464,390.0,1
2,1.0518712859603785e-173,60,465,390.0,1
0,1.0062103573643855e-173,0,463,391.0,1
1,1.0062103573643855e-173,0,464,391.0,1
2,1.0062103573643855e-173,0,465,391.0,1
0,9.318600881647884e-174,0,463,392.0,1
1,9.318600881647884e-174,0,464,392.0,1
2,9.318600881647884e-174,0,465,392.0,1
0,3.606960087417374e-171,0,463,393.0,1
1,3.606960087417374e-171,0,464,393.0,1
2,3.606960087417374e-171,0,465,393.0,1
0,3.4354351820430233e-171,0,463,394.0,1
1,3.4354351820430233e-171,0,464,394.0,1
2,3.4354351820430233e-171,0,465,394.0,1
0,1.4386956449847738e-168,0,463,395.0,1
1,1.4386956449847738e-168,0,464,395.0,1
2,1.4386956449847738e-168,0,465,395.0,1
0,1.4148139887882898e-168,0,463,396.0,1
1,1.4148139887882898e-168,0,464,396.0,1
2,1.4148139887882898e-168,0,465,396.0,1
0,6.440385299736777e-166,0,463,397.0,1
1,6.440385299736777e-166,0,464,397.0,1
2,6.440385299736777e-166,0,465,397.0,1
0,6.567674355484694e-166,0,463,398.0,1
1,6.567674355484694e-166,0,464,398.0,1
2,6.567674355484694e-166,0,465,398.0,1
0,6.490939383730774e-166,0,463,399.0,1
1,6.490939383730774e-166,0,464,399.0,1
2,6.490939383730774e-166,0,465,399.0,1
0,3.4701180057528536e-163,0,463,400.0,1
1,3.4701180057528536e-163,0,464,400.0,1
2,3.4701180057528536e-163,0,465,400.0,1
0,3.577591016043323e-163,0,463,401.0,1
1,3.577591016043323e-163,0,464,401.0,1
2,3.577591016043323e-163,0,465,401.0,1
0,3.573823761271275e-163,0,463,402.0,1
1,3.573823761271275e-163,0,464,402.0,1
2,3.573823761271275e-163,0,465,402.0,1
0,3.453913377232716e-163,0,463,403.0,1
1,3.453913377232716e-163,0,464,403.0,1
2,3.453913377232716e-163,0,465,403.0,1
0,2.3931006974215198e-160,0,463,404.0,1
1,2.3931006974215198e-160,0,464,404.0,1
2,2.3931006974215198e-160,0,465,404.0,1
0,2.4330906366342045e-160,10,463,405.0,1
1,2.4330906366342045e-160,10,464,405.0,1
2,2.4330906366342045e-160,10,465,405.0,1
0,2.3930482405298626e-160,0,463,406.0,1
1,2.3930482405298626e-160,0,464,406.0,1
2,2.3930482405298626e-160,0,465,406.0,1
0,2.272965897774176e-160,0,463,407.0,1
1,2.272965897774176e-160,0,464,407.0,1
2,2.272965897774176e-160,0,465,407.0,1
0,2.1212058484200045e-157,0,463,408.0,1
1,2.1212058484200045e-157,0,464,408.0,1
2,2.1212058484200045e-157,0,465,408.0,1
0,2.1418910648599593e-157,0,463,409.0,1
1,2.1418910648599593e-157,0,464,409.0,1
2,2.1418910648599593e-157,0,465,409.0,1
0,2.2802106788479226e-154,0,463,410.0,1
1,2.2802106788479226e-154,0,464,410.0,1
2,2.2802106788479226e-154,0,465,410.0,1
0,2.4679542233268424e-154,0,463,411.0,1
1,2.4679542233268424e-154,0,464,411.0,1
2,2.4679542233268424e-154,0,465,411.0,1
0,2.5862760026119655e-154,0,463,412.0,1
1,2.5862760026119655e-154,0,464,412.0,1
2,2.5862760026119655e-154,0,465,412.0,1
0,2.619299437608363e-154,0,463,413.0,1
1,2.619299437608363e-154,0,464,413.0,1
2,2.619299437608363e-154,0,465,413.0,1
0,4.0247814234067715e-151,0,463,414.0,1
1,4.0247814234067715e-151,0,464,414.0,1
2,4.0247814234067715e-151,0,465,414.0,1
0,4.436644207121207e-151,0,463,415.0,1
1,4.436644207121207e-151,0,464,415.0,1
2,4.436644207121207e-151,0,465,415.0,1
0,4.7324178551207083e-151,1,463,416.0,1
1,4.7324178551207083e-151,1,464,416.0,1
2,4.7324178551207083e-151,1,465,416.0,1
0,9.7581833454366e-148,12,463,417.0,1
1,9.7581833454366e-148,12,464,417.0,1
2,9.7581833454366e-148,12,465,417.0,1
0,1.1507923955080177e-147,9,463,418.0,1
1,1.1507923955080177e-147,9,464,418.0,1
2,1.1507923955080177e-147,9,465,418.0,1
0,1.3160847230967836e-147,0,463,419.0,1
1,1.3160847230967836e-147,0,464,419.0,1
2,1.3160847230967836e-147,0,465,419.0,1
0,3.777169589139941e-144,30,463,420.0,1
1,3.777169589139941e-144,30,464,420.0,1
2,3.777169589139941e-144,30,465,420.0,1
0,4.8685804930906407e-144,16,463,421.0,1
1,4.8685804930906407e-144,16,464,421.0,1
2,4.8685804930906407e-144,16,465,421.0,1
0,6.106684789372557e-144,18,463,422.0,1
1,6.106684789372557e-144,18,464,422.0,1
2,6.106684789372557e-144,18,465,422.0,1
0,2.5466353188967564e-140,17,463,423.0,1
1,2.5466353188967564e-140,17,464,423.0,1
2,2.5466353188967564e-140,17,465,423.0,1
0,3.6871150735836905e-140,36,463,424.0,1
1,3.6871150735836905e-140,36,464,424.0,1
2,3.6871150735836905e-140,36,465,424.0,1
0,5.222621629995146e-140,1,463,425.0,1
1,5.222621629995146e-140,1,464,425.0,1
2,5.222621629995146e-140,1,465,425.0,1
0,3.330525250546398e-136,7,463,426.0,1
1,3.330525250546398e-136,7,464,426.0,1
2,3.330525250546398e-136,7,465,426.0,1
0,5.6112366645900574e-136,12,463,427.0,1
