,underlyingClose,gex_call,gex_put,Total
0,419,14423887305.301163,-12954020597.440233,1469866707.8609295
1,420,14492818568.219166,-13015927417.754839,1476891150.4643269
2,421,14561914148.80801,-13077981810.942661,1483932337.8653488
3,422,14631174047.067698,-13140183777.0037,1490990270.0639973
4,423,14700598262.998226,-13202533315.937956,1498064947.0602703
5,424,14770186796.599596,-13265030427.745432,1505156368.8541641
6,425,14839939647.871807,-13327675112.42612,1512264535.4456863
7,426,14909856816.81486,-13390467369.980028,1519389446.8348312
8,427,14979938303.428753,-13453407200.407154,1526531103.0215988
9,428,15050184107.71349,-13516494603.707497,1533689504.005993
10,429,15120594229.669067,-13579729579.881056,1540864649.7880116
11,430,15191168669.295485,-13643112128.927834,1548056540.367651
12,431,15261907426.592747,-13706642250.847826,1555265175.7449207
13,432,15332810501.560846,-13770319945.641039,1562490555.9198074
14,433,15403877894.199791,-13834145213.307465,1569732680.8923264
15,434,15475109604.509575,-13898118053.84711,1576991550.6624641
16,435,15546505632.490202,-13962238467.259974,1584267165.2302284
17,436,15618065978.141668,-14026506453.546053,1591559524.5956154
18,437,15689790641.463978,-14090922012.70535,1598868628.758627
19,438,15761679622.457129,-14155485144.737865,1606194477.719263
20,439,15833732921.12112,-14220195849.643595,1613537071.4775257
21,440,15905950537.455956,-14285054127.422544,1620896410.033411
22,441,15978332471.46163,-14350059978.07471,1628272493.386919
23,442,16050878723.138147,-14415213401.600092,1635665321.5380554
24,443,16123589292.485504,-14480514397.998693,1643074894.4868107
25,444,16196464179.503704,-14545962967.27051,1650501212.2331944
26,445,16269503384.192745,-14611559109.415545,1657944274.7772007
27,446,16342706906.552628,-14677302824.433796,1665404082.1188316
28,447,16416074746.583351,-14743194112.325264,1672880634.2580872
29,448,16489606904.284916,-14809232973.089949,1680373931.1949673
30,449,16563303379.657324,-14875419406.727852,1687883972.929472
31,450,16637164172.700573,-14941753413.238974,1695410759.4615993
32,451,16711189283.414661,-15008234992.62331,1702954290.7913513
33,452,16785378711.799593,-15074864144.880865,1710514566.9187279
34,453,16859732457.855368,-15141640870.011637,1718091587.843731
35,454,16934250521.581982,-15208565168.015627,1725685353.5663548
36,455,17008932902.979437,-15275637038.892832,1733295864.086605
37,456,17083779602.047735,-15342856482.643255,1740923119.40448
38,457,17158790618.786873,-15410223499.266895,1748567119.5199776
39,458,17233965953.196854,-15477738088.763754,1756227864.4330997
40,459,17309305605.277676,-15545400251.133827,1763905354.1438484
41,460,17384809575.02934,-15613209986.377121,1771599588.6522179
